KHR_MATERIALS_DISPERSION_NO_VOLUME	The dispersion extension needs to be combined with the volume extension.	/materials/24/extensions/KHR_materials_dispersion
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/59/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/60/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/61/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/62/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/63/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/64/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/65/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/66/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/67/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/68/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/69/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/70/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/71/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/72/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/73/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/74/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/75/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/76/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/77/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/78/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/79/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/80/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/81/material
MESH_PRIMITIVE_GENERATED_TANGENT_SPACE	Material requires a tangent space but the mesh primitive does not provide it. Runtime-generated tangent space may be non-portable across implementations.	/meshes/0/primitives/82/material
